date,year,month,meter_id,measurement_type,meter_type,suburb,usage_type,total_value,avg_value,max_value,min_value,reading_count,processed_time
2022-07-12,2022,7,61279693,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61279693,Pulse1_Total,captis_pulse,buderim,residential,595.0,35.0,35.0,35.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61279693,DeviceTemperature,captis_pulse,buderim,residential,11.1,11.1,11.1,11.1,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61279693,Battery,captis_pulse,buderim,residential,2.043,2.043,2.043,2.043,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61279693,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,26,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61279693,Pulse1_Total,captis_pulse,buderim,residential,875.0,35.0,35.0,35.0,25,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61279693,DeviceTemperature,captis_pulse,buderim,residential,22.0,22.0,22.0,22.0,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61554723,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61554723,Pulse1_Total,captis_pulse,buderim,residential,527.0,31.0,31.0,31.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61554723,DeviceTemperature,captis_pulse,buderim,residential,14.59,14.59,14.59,14.59,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61554723,Battery,captis_pulse,buderim,residential,74.55699999999999,24.85233333333333,66.0,3.63,3,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61554723,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,24,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61554723,Pulse1_Total,captis_pulse,buderim,residential,744.0,31.0,31.0,31.0,24,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61554723,DeviceTemperature,captis_pulse,buderim,residential,16.9,16.9,16.9,16.9,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,62293883,Pulse1,captis_pulse,buderim,residential,161.0,9.470588235294118,111.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,62293883,Pulse1_Total,captis_pulse,buderim,residential,1360315.0,80018.5294117647,80163.0,79938.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,62293883,DeviceTemperature,captis_pulse,buderim,residential,15.17,15.17,15.17,15.17,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,62293883,Battery,captis_pulse,buderim,residential,3.64,3.64,3.64,3.64,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,62293883,Pulse1,captis_pulse,buderim,residential,170.0,7.083333333333333,78.0,0.0,24,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,62293883,Pulse1_Total,captis_pulse,buderim,residential,1851559.0,80502.56521739131,80635.0,80175.0,23,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,62312765,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,62312765,Pulse1_Total,captis_pulse,buderim,residential,630377.0,37081.0,37081.0,37081.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,62312765,DeviceTemperature,captis_pulse,buderim,residential,9.9,9.9,9.9,9.9,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,62312765,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,26,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,62312765,Pulse1_Total,captis_pulse,buderim,residential,964106.0,37081.0,37081.0,37081.0,26,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,62312765,DeviceTemperature,captis_pulse,buderim,residential,18.3,18.3,18.3,18.3,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,67715869,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,18,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,67715869,Pulse1_Total,captis_pulse,buderim,residential,648.0,36.0,36.0,36.0,18,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,67715869,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,28,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,67715869,Pulse1_Total,captis_pulse,buderim,residential,1008.0,36.0,36.0,36.0,28,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,67715869,DeviceTemperature,captis_pulse,buderim,residential,35.6,35.6,35.6,35.6,1,2025-12-23T13:39:34.573Z
